Model,Class,Precision,Recall,F1,Support
CNN,Anthracnose,0.9359,0.9733,0.9542,75
CNN,Bacterial Canker,0.8706,0.9867,0.925,75
CNN,Cutting Weevil,1.0,0.9467,0.9726,75
CNN,Die Back,0.974,1.0,0.9868,75
CNN,Gall Midge,1.0,0.56,0.7179,75
CNN,Powdery Mildew,0.6396,0.9467,0.7634,75
CNN,Sooty Mould,0.7869,0.64,0.7059,75
SVM+HOG,Anthracnose,0.7831,0.8667,0.8228,75
SVM+HOG,Bacterial Canker,0.8816,0.8933,0.8874,75
SVM+HOG,Cutting Weevil,0.9865,0.9733,0.9799,75
SVM+HOG,Die Back,1.0,0.9733,0.9865,75
SVM+HOG,Gall Midge,0.825,0.88,0.8516,75
SVM+HOG,Powdery Mildew,0.8615,0.7467,0.8,75
SVM+HOG,Sooty Mould,0.7162,0.7067,0.7114,75
LogReg,Anthracnose,0.942,0.8667,0.9028,75
LogReg,Bacterial Canker,0.7381,0.8267,0.7799,75
LogReg,Cutting Weevil,1.0,0.96,0.9796,75
LogReg,Die Back,0.9459,0.9333,0.9396,75
LogReg,Gall Midge,0.3924,0.4133,0.4026,75
LogReg,Powdery Mildew,0.6974,0.7067,0.702,75
LogReg,Sooty Mould,0.493,0.4667,0.4795,75
